day,date,series_index,series_name,predicted,actual,absolute_error,smape_component
4,2022-10-09,10,VERAGUAS,5.92618985049169,4.0,1.9261898504916903,38.810256090281754
5,2022-10-16,0,BOCAS DEL TORO,15.003821408143992,18.0,2.996178591856008,18.156555598841496
5,2022-10-16,1,CHIRIQUI,6.5764739866827195,14.0,7.4235260133172805,72.1554724888419
5,2022-10-16,2,COCLE,19.87816553993525,22.0,2.1218344600647505,10.133368702797439
5,2022-10-16,3,COLON,8.33830683378966,3.0,5.338306833789661,94.16409190622356
5,2022-10-16,4,DARIEN,1.8547083052129407,1.0,0.8547083052129407,59.880605219956834
5,2022-10-16,5,HERRERA,32.9658354404599,31.0,1.965835440459898,6.146516892723834
5,2022-10-16,6,KUNA YALA,11.832265693401373,0.0,11.832265693401373,200.0
5,2022-10-16,7,LOS SANTOS,16.71625801260986,12.0,4.71625801260986,32.84730211393741
5,2022-10-16,8,NGOBE BUGLE,0.8068813674998425,0.0,0.8068813674998425,200.0
5,2022-10-16,9,PANAMA,288.01564670945305,206.0,82.01564670945305,33.20366359071585
5,2022-10-16,10,VERAGUAS,7.066650100773442,1.0,6.066650100773442,150.41312130773497
6,2022-10-23,0,BOCAS DEL TORO,16.234518235319033,11.0,5.234518235319033,38.44032187454418
6,2022-10-23,1,CHIRIQUI,4.764969067056683,6.0,1.2350309329433173,22.945368913744492
6,2022-10-23,2,COCLE,16.31716913112104,24.0,7.682830868878959,38.11195594558022
6,2022-10-23,3,COLON,15.49406519005556,9.0,6.49406519005556,53.02562183668974
6,2022-10-23,4,DARIEN,4.451190085272636,1.0,3.4511900852726356,126.62152782368175
6,2022-10-23,5,HERRERA,30.328806033136196,33.0,2.671193966863804,8.43595240202737
6,2022-10-23,6,KUNA YALA,20.742574192956457,1.0,19.742574192956457,181.60291433525012
6,2022-10-23,7,LOS SANTOS,12.51191243394199,12.0,0.5119124339419905,4.176846138150674
6,2022-10-23,8,NGOBE BUGLE,1.4855663755227184,0.0,1.4855663755227184,200.0
6,2022-10-23,9,PANAMA,277.9783164925396,177.0,100.97831649253959,44.38818854972636
6,2022-10-23,10,VERAGUAS,7.839204150453306,1.0,6.839204150453306,154.74705717940836
7,2022-10-30,0,BOCAS DEL TORO,13.983353772656788,15.0,1.0166462273432124,7.015380175239262
7,2022-10-30,1,CHIRIQUI,7.122529817383311,4.0,3.1225298173833114,56.14783450619543
7,2022-10-30,2,COCLE,16.347903914749846,17.0,0.6520960852501538,3.9108670033184922
7,2022-10-30,3,COLON,14.000000000000004,7.0,7.0000000000000036,66.66666666666669
7,2022-10-30,4,DARIEN,1.2099490532899042,3.0,1.7900509467100958,85.03907881313879
7,2022-10-30,5,HERRERA,33.39448683910206,32.0,1.3944868391020577,4.264845269091512
7,2022-10-30,6,KUNA YALA,22.177513941257764,1.0,21.177513941257764,182.7418936727304
7,2022-10-30,7,LOS SANTOS,18.62471523024506,14.0,4.624715230245059,28.350992170240747
7,2022-10-30,8,NGOBE BUGLE,0.0,0.0,0.0,0.0
7,2022-10-30,9,PANAMA,261.7788425909749,143.0,118.77884259097488,58.688266328682474
7,2022-10-30,10,VERAGUAS,7.835795755219328,4.0,3.835795755219328,64.81686292242455
8,2022-11-06,0,BOCAS DEL TORO,7.891104232337106,5.0,2.8911042323371063,44.85425267270468
8,2022-11-06,1,CHIRIQUI,6.0484720350515495,4.0,2.0484720350515495,40.77181143373786
8,2022-11-06,2,COCLE,20.95900804169335,11.0,9.959008041693352,62.32363675806799
8,2022-11-06,3,COLON,15.000000000000002,1.0,14.000000000000002,175.00000000000003
8,2022-11-06,4,DARIEN,2.9526407231226157,1.0,1.9526407231226157,98.80183198537786
8,2022-11-06,5,HERRERA,29.385618384635933,33.0,3.614381615364067,11.587227021073183
8,2022-11-06,6,KUNA YALA,18.34153124018887,1.0,17.34153124018887,179.31911413668954
8,2022-11-06,7,LOS SANTOS,10.683488510826358,7.0,3.6834885108263578,41.660201928722564
8,2022-11-06,8,NGOBE BUGLE,2.176173533027322,0.0,2.176173533027322,200.0
8,2022-11-06,9,PANAMA,259.32814207179433,98.0,161.32814207179433,90.29691371992766
8,2022-11-06,10,VERAGUAS,8.337286872329758,5.0,3.3372868723297575,50.044464129409555
